Baza Poprzeczna,"[42.9802875, 51.58185, 60.1834125, 68.784975, 77.3865375, 85.98809999999999, 94.58966249999999, 103.19122499999999, 111.79278749999999, 120.39434999999999, 128.9959125, 137.597475, 146.1990375, 154.8006, 163.4021625, 172.003725]"
Teremowy Wymiar Piksela,"[0.009375, 0.01125, 0.013125, 0.015000000000000001, 0.016875, 0.01875, 0.020625, 0.0225, 0.024375, 0.02625, 0.028125000000000004, 0.030000000000000002, 0.031875, 0.03375, 0.035625000000000004, 0.0375]"
Wysokosc Fotografowania,"[125.0, 150.0, 175.0, 200.0, 225.0, 250.0, 275.0, 300.0, 325.0, 350.0, 375.0, 400.0, 425.0, 450.0, 475.0, 500.0]"
Wymiar_Ternowy_Podlurzny,"[76.66965, 92.01339999999999, 107.35715, 122.7009, 138.04465, 153.3884, 168.73215, 184.0759, 199.41965, 214.7634, 230.10715, 245.4509, 260.79465, 276.13840000000005, 291.48215000000005, 306.82590000000005]"
Dlugosc Szeregu,"[4.153339300000001, 4.184026800000001, 4.214714300000001, 4.245401800000001, 4.276089300000001, 4.3067768, 4.337464300000001, 4.3681518, 4.3988393, 4.4295268000000005, 4.4602143, 4.4909018, 4.5215893, 4.5522768000000005, 4.5829643, 4.6136517999999995]"
Terenowy Wymiar Piksela - Maksymalny,"[0.0105, 0.012374999999999999, 0.014249999999999999, 0.016125, 0.018000000000000002, 0.019875, 0.02175, 0.023625, 0.025500000000000002, 0.027375, 0.02925, 0.031125, 0.033, 0.034874999999999996, 0.03675, 0.038625]"
Powierzchnia Stereogramu,"[1934.6899589843752, 2785.5747281249996, 3791.1084230468746, 4951.2910437499995, 6266.122590234376, 7735.603062500002, 9359.732460546877, 11138.510784375001, 13071.938033984377, 15160.014209375002, 17402.739310546873, 19800.1133375, 22352.13629023438, 25058.80816875, 27920.128973046878, 30936.098703125004]"
Dystans Miedzy Zdjeciami,"[26.4, 26.4, 26.4, 26.4, 26.4, 26.4, 26.4, 26.4, 26.4, 26.4, 26.4, 26.4, 26.4, 26.4, 26.4, 26.4]"
Terenowy Wymiar Piksela - Minimalny,"[0.00825, 0.010125, 0.012, 0.013875, 0.01575, 0.017625, 0.0195, 0.021375, 0.02325, 0.025125, 0.027, 0.028874999999999998, 0.03075, 0.032625, 0.034499999999999996, 0.036375000000000005]"
Wysokosc Srednia,"[254.0, 254.0, 254.0, 254.0, 254.0, 254.0, 254.0, 254.0, 254.0, 254.0, 254.0, 254.0, 254.0, 254.0, 254.0, 254.0]"
